at_0,de_1,de_2,de_3,id_100,id_101,id_103,id_200,id_500
11.316873,57.052631,88.655464,79.411766,188,Costa Rica,CRI,1996,188.1996
30.425964,65.157608,87.741608,62.27224,188,Costa Rica,CRI,1997,188.1997
35.183247,61.053837,75.052521,74.869789,188,Costa Rica,CRI,1998,188.1998
,,,,188,,,1999,
12.993763,63.706024,90.80645,66.799789,188,Costa Rica,CRI,2000,188.2
,,,,188,,,2001,
,,,,188,,,2002,
,,,,188,,,2003,
39.367023,56.669998,81.103355,69.894417,188,Costa Rica,CRI,2004,188.2004
15.04606,54.29203,85.656006,58.115276,188,Costa Rica,CRI,2005,188.2005
42.576687,51.98587,87.928024,62.18359,188,Costa Rica,CRI,2006,188.2006
8.4551144,51.120163,90.218521,58.432114,188,Costa Rica,CRI,2007,188.2007
46.060822,57.015244,84.804359,61.353157,188,Costa Rica,CRI,2008,188.2008
22.06333,61.694099,84.2827,73.029968,188,Costa Rica,CRI,2009,188.2009
44.668949,60.577522,85.686722,60.070152,188,Costa Rica,CRI,2010,188.201
,,,,188,,,2011,
66.915253,58.51548,91.145836,54.857338,188,Costa Rica,CRI,2012,188.2012
,,,,188,,,2013,
63.830254,59.625027,86.632301,58.802971,188,Costa Rica,CRI,2014,188.2014
10.824742,49.503254,72.717392,55.84137,188,Costa Rica,CRI,2015,188.2015
,,,,191,,,1995,
,,,,191,,,1996,
,,,,191,,,1997,
,,,,191,,,1998,
,,,,191,,,1999,
,,,37.831326,191,Croatia,HRV,2000,191.2
,,,,191,,,2001,
,,,,191,,,2002,
,,,,191,,,2003,
,37.086319,70.319633,69.844017,191,Croatia,HRV,2004,191.2004
47.64344,39.250317,64.102562,43.280979,191,Croatia,HRV,2005,191.2005
,,,,191,,,2006,
29.276594,48.142467,67.90123,41.53846,191,Croatia,HRV,2007,191.2007
,,,,191,,,2008,
,,,,191,,,2009,
,,,,191,,,2010,
,,,,191,,,2011,
,,,,191,,,2012,
,,,,191,,,2013,
,,,,191,,,2014,
,,,,191,,,2015,
,,,,196,,,1995,
,,,,196,,,1996,
,,,,196,,,1997,
,,,,196,,,1998,
,,,,196,,,1999,
,,,,196,,,2000,
,,,,196,,,2001,
,,,,196,,,2002,
,,,,196,,,2003,
,,,,196,,,2004,
,,,,196,,,2005,
,,,,196,,,2006,
,,,,196,,,2007,
,,,,196,,,2008,
,,,,196,,,2009,
,,,,196,,,2010,
,,,,196,,,2011,
36.421524,40.897221,,83.965843,196,Cyprus,CYP,2012,196.2012
,,,,196,,,2013,
,,,,196,,,2014,
,,,,196,,,2015,
,,,,203,,,1995,
,49.358437,,80.053627,203,Czech Republic,CZE,1996,203.1996
,,,,203,,,1997,
,,,,203,,,1998,
,,,,203,,,1999,
,,,77.018631,203,Czech Republic,CZE,2000,203.2
,,,,203,,,2001,
,,,,203,,,2002,
,42.113716,,67.117119,203,Czech Republic,CZE,2003,203.2003
42.881886,46.706612,69.278305,78.965469,203,Czech Republic,CZE,2004,203.2004
48.244766,53.556896,74.964233,70.666664,203,Czech Republic,CZE,2005,203.2005
,,,,203,,,2006,
47.790825,57.938599,76.489708,73.045509,203,Czech Republic,CZE,2007,203.2007
,,,,203,,,2008,
,,,,203,,,2009,
,,,,203,,,2010,
,,,,203,,,2011,
,,,,203,,,2012,
43.566399,40.139767,,71.843346,203,Czech Republic,CZE,2013,203.2013
,,,,203,,,2014,
,,,,203,,,2015,
,,,,204,,,1995,
,,,,204,,,1996,
,,,,204,,,1997,
,,,,204,,,1998,
,,,,204,,,1999,
,,,,204,,,2000,
,,,,204,,,2001,
,,,,204,,,2002,
,,,,204,,,2003,
,,,,204,,,2004,
27.429062,66.410126,87.845848,74.932617,204,Benin,BEN,2005,204.2005
,,,,204,,,2006,
,,,,204,,,2007,
28.819736,73.830154,86.675232,80.275627,204,Benin,BEN,2008,204.2008
,,,,204,,,2009,
,,,,204,,,2010,
32.193493,67.660553,83.458961,73.30484,204,Benin,BEN,2011,204.2011
,,,,204,,,2012,
,,,,204,,,2013,
,57.566963,87.18615,66.46199,204,Benin,BEN,2014,204.2014
,,,,204,,,2015,
,,,,208,,,1995,
,,,,208,,,1996,
,,,,208,,,1997,
56.359249,70.120995,,95.070419,208,Denmark,DNK,1998,208.1998
,,,,208,,,1999,
,65.023743,,85.554428,208,Denmark,DNK,2000,208.2
,,,,208,,,2001,
,,,,208,,,2002,
,72.548729,,92.07589,208,Denmark,DNK,2003,208.2003
68.6129,74.341011,90.053764,93.75,208,Denmark,DNK,2004,208.2004
75.742577,78.505562,86.76075,89.919357,208,Denmark,DNK,2005,208.2005
,,,,208,,,2006,
,78.112045,86.029411,89.196678,208,Denmark,DNK,2007,208.2007
,,,,208,,,2008,
,,,,208,,,2009,
,,,,208,,,2010,
,,,,208,,,2011,
,,,,208,,,2012,
69.76886,73.357224,,91.022797,208,Denmark,DNK,2013,208.2013
,,,,208,,,2014,
,,,,208,,,2015,
,,,,214,,,1995,
,,,,214,,,1996,
,,,,214,,,1997,
,,,,214,,,1998,
,,,,214,,,1999,
,,,62.393162,214,Dominican Republic,DOM,2000,214.2
,,,,214,,,2001,
,,,,214,,,2002,
,,,,214,,,2003,
,,,,214,,,2004,
24.894514,56.19521,74.457764,49.082932,214,Dominican Republic,DOM,2005,214.2005
43.570168,51.914452,76.765717,38.577587,214,Dominican Republic,DOM,2006,214.2006
29.259762,57.648735,75.086899,64.649887,214,Dominican Republic,DOM,2007,214.2007
43.586338,51.673634,80.857773,59.890366,214,Dominican Republic,DOM,2008,214.2008
36.178864,54.216866,72.040817,50,214,Dominican Republic,DOM,2009,214.2009
44.630226,47.852531,72.62365,52.199547,214,Dominican Republic,DOM,2010,214.201
,,,,214,,,2011,
61.207493,49.930458,78.162544,50.910316,214,Dominican Republic,DOM,2012,214.2012
,,,,214,,,2013,
58.165546,47.375504,77.762337,42.540947,214,Dominican Republic,DOM,2014,214.2014
12.688822,53.177029,75.233643,52.059132,214,Dominican Republic,DOM,2015,214.2015
,,,,218,,,1995,
20.307167,42.762398,68.071747,37.589287,218,Ecuador,ECU,1996,218.1996
17.421007,38.018169,60.045456,18.85965,218,Ecuador,ECU,1997,218.1997
22.779243,42.041523,70.148598,23.695845,218,Ecuador,ECU,1998,218.1998
,,,,218,,,1999,
16.321243,35.270653,72.470901,36.875202,218,Ecuador,ECU,2000,218.2
,,,,218,,,2001,
,,,,218,,,2002,
20.168776,35.194584,55.894825,40.456432,218,Ecuador,ECU,2003,218.2003
38.497864,34.512047,64.630363,47.091492,218,Ecuador,ECU,2004,218.2004
17.621899,49.244907,70.235336,31.494995,218,Ecuador,ECU,2005,218.2005
42.55558,34.190102,72.599396,31.772396,218,Ecuador,ECU,2006,218.2006
11.928934,53.728561,76.875824,64.745514,218,Ecuador,ECU,2007,218.2007
45.881378,48.845234,77.770248,45.846172,218,Ecuador,ECU,2008,218.2008
20.155039,42.66787,60,40.170132,218,Ecuador,ECU,2009,218.2009
36.5811,50.865398,82.412849,48.827267,218,Ecuador,ECU,2010,218.201
,,,,218,,,2011,
60.297096,55.685131,78.433556,50.569218,218,Ecuador,ECU,2012,218.2012
10.473945,55.612976,75.352737,60.78492,218,Ecuador,ECU,2013,218.2013
60.648457,56.956116,76.807892,59.565411,218,Ecuador,ECU,2014,218.2014
21.458508,55.224304,78.954308,57.796715,218,Ecuador,ECU,2015,218.2015
,,,,222,,,1995,
24.600639,36.641762,74.559471,42.503098,222,El Salvador,SLV,1996,222.1996
30.666666,48.596851,77.924133,40.54348,222,El Salvador,SLV,1997,222.1997
22.095436,49.631119,85.258362,51.666668,222,El Salvador,SLV,1998,222.1998
,,,,222,,,1999,
16.243654,36.972191,77.679497,44.004169,222,El Salvador,SLV,2000,222.2
,,,,222,,,2001,
,,,,222,,,2002,
,,,,222,,,2003,
40.021088,51.689064,78.540222,65.088058,222,El Salvador,SLV,2004,222.2004
25.331972,43.211246,82.239159,37.849945,222,El Salvador,SLV,2005,222.2005
